Transaction;Item;date_time;period_day;weekday_weekend
26;Pomade Oil Based Premium Medium;30/10/2022 10:56;morning;weekend
27;Ocean Dust Bundling & Ocean Dust & Refresh Wipes;30/10/2022 11:02;morning;weekend
28;Pomade Oil Based Fine Shinee;30/10/2022 11:03;morning;weekend
28;Hair Clay & Hairwax Bundling ;30/10/2022 11:03;morning;weekend
29;Hair Clay & Hairwax Bundling ;30/10/2022 11:05;morning;weekend
29;Ocean Dust & Dapper Statter;30/10/2022 11:05;morning;weekend
30;Hair Clay & Hairwax Bundling ;30/10/2022 11:07;morning;weekend
31;Pomade Oil Based Premium Medium;30/10/2022 11:12;morning;weekend
32;Ocean Dust Bundling & Ocean Dust & Refresh Wipes;30/10/2022 11:16;morning;weekend
32;Ocean Dust & Hair ClayTote Bag;30/10/2022 11:16;morning;weekend
33;Pomade Oil Based Fine Shinee;30/10/2022 11:22;morning;weekend
34;Pomade Oil Based Fine Shinee;30/10/2022 11:25;morning;weekend
34;Ocean Dust & Hair ClayTote Bag;30/10/2022 11:25;morning;weekend
35;Ocean Dust & Hair ClayTote Bag;30/10/2022 11:27;morning;weekend
35;Ocean Dust Bundling & Ocean Dust & Refresh Wipes;30/10/2022 11:27;morning;weekend
36;Shampoo & Face Cleanser & Body Cleanser;30/10/2022 11:33;morning;weekend
36;Hair Clay & Hairwax Bundling ;30/10/2022 11:33;morning;weekend
37;Pomade Oil Based Fine Shinee;30/10/2022 11:37;morning;weekend
37;Hair Clay & Hairwax Bundling ;30/10/2022 11:37;morning;weekend
38;Hair Clay & Hairwax Bundling ;30/10/2022 11:42;morning;weekend
38;Shampoo & Face Cleanser & Body Cleanser;30/10/2022 11:42;morning;weekend
39;Ocean Dust Bundling & Ocean Dust & Refresh Wipes;30/10/2022 11:44;morning;weekend
40;Pomade Oil Based Bold ;30/10/2022 11:55;morning;weekend
40;Refresh Wipes;30/10/2022 11:55;morning;weekend
40;Pomade Oil Based Fine Shinee;30/10/2022 11:55;morning;weekend
40;Ocean Dust & Hair ClayTote Bag;30/10/2022 11:55;morning;weekend
41;Ocean Dust Bundling & Ocean Dust & Refresh Wipes;30/10/2022 11:57;morning;weekend
42;Hair Clay & Hairwax Bundling ;30/10/2022 11:57;morning;weekend
42;Shampoo & Face Cleanser & Body Cleanser;30/10/2022 11:57;morning;weekend
43;Ocean Dust Bundling & Ocean Dust & Refresh Wipes;30/10/2022 12:00;afternoon;weekend
43;Pomade Oil Based Premium Medium;30/10/2022 12:00;afternoon;weekend
44;Pomade Oil Based Fine Shinee;30/10/2022 12:05;afternoon;weekend
44;Ocean Dust & Pomade Dapper Stater;30/10/2022 12:05;afternoon;weekend
45;Pomade Oil Based Fine Shinee;30/10/2022 12:08;afternoon;weekend
45;Dandruff Buster Shampoo ;30/10/2022 12:08;afternoon;weekend
45;Ocean Dust & Pomade Dapper Stater;30/10/2022 12:08;afternoon;weekend
46;Pomade Oil Based Fine Shinee;30/10/2022 12:09;afternoon;weekend
47;Ella's Kitchen Pouches;30/10/2022 12:15;afternoon;weekend
47;Pomade Oil Based Bold ;30/10/2022 12:15;afternoon;weekend
47;Hair Clay & Hairwax Bundling ;30/10/2022 12:15;afternoon;weekend
47;Ocean Dust & Hair ClayTote Bag;30/10/2022 12:15;afternoon;weekend
47;Ocean Dust & Dapper Statter;30/10/2022 12:15;afternoon;weekend
48;Pomade Oil Based Fine Shinee;30/10/2022 12:17;afternoon;weekend
49;Pomade Oil Based Fine Shinee;30/10/2022 12:23;afternoon;weekend
49;Pomade Oil Based Fine Shinee;30/10/2022 12:23;afternoon;weekend
49;Ocean Dust & Pomade Dapper Stater;30/10/2022 12:23;afternoon;weekend
50;Hair Clay & Hairwax Bundling ;30/10/2022 12:25;afternoon;weekend
50;Pomade Oil Based Bold ;30/10/2022 12:25;afternoon;weekend
51;Hair Clay & Hairwax Bundling ;30/10/2022 12:26;afternoon;weekend
52;Ocean Dust Bundling & Ocean Dust & Refresh Wipes;30/10/2022 12:28;afternoon;weekend
54;Hair Clay & Hairwax Bundling ;30/10/2022 12:33;afternoon;weekend
55;Hair Styling &  Volumizing Powder Ocean Dust;30/10/2022 12:38;afternoon;weekend
55;Pomade Oil Based Fine Shinee;30/10/2022 12:38;afternoon;weekend
55;Shampoo & Face Cleanser & Body Cleanser;30/10/2022 12:38;afternoon;weekend
55;Pomade Oil Based Premium Medium;30/10/2022 12:38;afternoon;weekend
56;Pomade Oil Based Fine Shinee;30/10/2022 12:39;afternoon;weekend
56;Hair Styling &  Volumizing Powder Ocean Dust;30/10/2022 12:39;afternoon;weekend
57;Ocean Dust Bundling & Ocean Dust & Refresh Wipes;30/10/2022 12:45;afternoon;weekend
58;Pomade Oil Based Bold ;30/10/2022 12:59;afternoon;weekend
58;Dandruff Buster Shampoo ;30/10/2022 12:59;afternoon;weekend
58;Shampoo & Face Cleanser & Body Cleanser;30/10/2022 12:59;afternoon;weekend
58;Deep Face Cleanser Facial Wash;30/10/2022 12:59;afternoon;weekend
59;Shampoo & Face Cleanser & Body Cleanser;30/10/2022 13:02;afternoon;weekend
60;Ocean Dust & Hair Clay;30/10/2022 13:14;afternoon;weekend
60;Pomade Oil Based Fine Shinee;30/10/2022 13:14;afternoon;weekend
60;Pomade Oil Based Bold ;30/10/2022 13:14;afternoon;weekend
60;Pomade Oil Based Fine Shinee;30/10/2022 13:14;afternoon;weekend
61;Pomade Oil Based Fine Shinee;30/10/2022 13:15;afternoon;weekend
62;Hair Styling &  Volumizing Powder Ocean Dust;30/10/2022 13:24;afternoon;weekend
62;Pomade Oil Based Premium Medium;30/10/2022 13:24;afternoon;weekend
62;Pomade Oil Based Premium Medium;30/10/2022 13:24;afternoon;weekend
62;Pomade Oil Based Fine Shinee;30/10/2022 13:24;afternoon;weekend
62;Hair Styling &  Volumizing Powder Ocean Dust;30/10/2022 13:24;afternoon;weekend
62;Pomade Oil Based Fine Shinee;30/10/2022 13:24;afternoon;weekend
63;Pomade Oil Based Fine Shinee;30/10/2022 13:33;afternoon;weekend
64;Pomade Water Based Dashing Slick;30/10/2022 13:34;afternoon;weekend
65;Refresh Wipes;30/10/2022 13:37;afternoon;weekend
65;Pomade Oil Based Premium Medium;30/10/2022 13:37;afternoon;weekend
65;Shampoo & Face Cleanser & Body Cleanser;30/10/2022 13:37;afternoon;weekend
65;Pomade Oil Based Fine Shinee;30/10/2022 13:37;afternoon;weekend
66;Pomade Oil Based Premium Medium;30/10/2022 13:40;afternoon;weekend
66;Hair Styling &  Volumizing Powder Ocean Dust;30/10/2022 13:40;afternoon;weekend
66;Pomade Water Based Dashing Slick;30/10/2022 13:40;afternoon;weekend
67;Pomade Oil Based Premium Medium;30/10/2022 13:46;afternoon;weekend
67;Pomade Water Based Dashing Slick;30/10/2022 13:46;afternoon;weekend
67;Ocean Dust & Hair ClayTote Bag;30/10/2022 13:46;afternoon;weekend
68;Hair Styling &  Volumizing Powder Ocean Dust;30/10/2022 13:49;afternoon;weekend
68;Pomade Oil Based Fine Shinee;30/10/2022 13:49;afternoon;weekend
68;Shampoo & Face Cleanser & Body Cleanser;30/10/2022 13:49;afternoon;weekend
68;Ocean Dust Bundling & Ocean Dust & Refresh Wipes;30/10/2022 13:49;afternoon;weekend
68;Chicken sand;30/10/2022 13:49;afternoon;weekend
69;Hair Clay & Hairwax Bundling ;30/10/2022 13:51;afternoon;weekend
69;Shampoo & Face Cleanser & Body Cleanser;30/10/2022 13:51;afternoon;weekend
69;Pomade Oil Based Bold ;30/10/2022 13:51;afternoon;weekend
70;Pomade Oil Based Premium Medium;30/10/2022 13:54;afternoon;weekend
71;Ocean Dust & Hair ClayTote Bag;30/10/2022 13:56;afternoon;weekend
72;Pomade Oil Based Fine Shinee;30/10/2022 14:21;afternoon;weekend
72;Hair Clay & Hairwax Bundling ;30/10/2022 14:21;afternoon;weekend
73;Hair Clay & Hairwax Bundling ;30/10/2022 14:22;afternoon;weekend
74;Pomade Oil Based Fine Shinee;30/10/2022 14:24;afternoon;weekend
74;Hair Clay & Hairwax Bundling ;30/10/2022 14:24;afternoon;weekend
75;Ocean Dust & Dapper Statter;30/10/2022 14:32;afternoon;weekend
75;Hair Styling &  Volumizing Powder Ocean Dust;30/10/2022 14:32;afternoon;weekend
76;Pomade Oil Based Fine Shinee;30/10/2022 14:32;afternoon;weekend
77;Ocean Dust Bundling & Ocean Dust & Refresh Wipes;30/10/2022 14:35;afternoon;weekend
78;Pomade Oil Based Premium Medium;30/10/2022 14:42;afternoon;weekend
79;Pomade Oil Based Premium Medium;30/10/2022 14:45;afternoon;weekend
79;Shampoo & Face Cleanser & Body Cleanser;30/10/2022 14:45;afternoon;weekend
79;Pomade Oil Based Fine Shinee;30/10/2022 14:45;afternoon;weekend
79;Ocean Dust & Hair ClayTote Bag;30/10/2022 14:45;afternoon;weekend
80;Hair Styling &  Volumizing Powder Ocean Dust;30/10/2022 14:48;afternoon;weekend
80;Hair Clay & Hairwax Bundling ;30/10/2022 14:48;afternoon;weekend
80;Pomade Oil Based Fine Shinee;30/10/2022 14:48;afternoon;weekend
81;Pomade Oil Based Fine Shinee;31/10/2022 08:28;morning;weekday
81;Pomade Water Based Dashing Slick;31/10/2022 08:28;morning;weekday
82;Refresh Wipes;31/10/2022 08:47;morning;weekday
82;Hair Clay & Hairwax Bundling ;31/10/2022 08:47;morning;weekday
83;Pomade Oil Based Fine Shinee;31/10/2022 08:57;morning;weekday
83;Hair Clay & Hairwax Bundling ;31/10/2022 08:57;morning;weekday
84;Hair Clay & Hairwax Bundling ;31/10/2022 09:04;morning;weekday
85;Pomade Oil Based Fine Shinee;31/10/2022 09:10;morning;weekday
85;Pomade Oil Based Fine Shinee;31/10/2022 09:10;morning;weekday
85;Ocean Dust & Clayton;31/10/2022 09:10;morning;weekday
85;Ocean Dust & Pomade Dapper Stater;31/10/2022 09:10;morning;weekday
86;Pomade Oil Based Bold ;31/10/2022 09:11;morning;weekday
87;Hair Clay & Hairwax Bundling ;31/10/2022 09:12;morning;weekday
88;Pomade Oil Based Fine Shinee;31/10/2022 09:16;morning;weekday
88;Pomade Oil Based Fine Shinee;31/10/2022 09:16;morning;weekday
88;Ocean Dust & Dapper Statter;31/10/2022 09:16;morning;weekday
89;Hair Clay & Hairwax Bundling ;31/10/2022 09:19;morning;weekday
90;Hair Clay & Hairwax Bundling ;31/10/2022 09:20;morning;weekday
90;Pomade Oil Based Fine Shinee;31/10/2022 09:20;morning;weekday
91;Shampoo & Face Cleanser & Body Cleanser;31/10/2022 09:22;morning;weekday
92;Pomade Oil Based Fine Shinee;31/10/2022 09:27;morning;weekday
93;Hair Clay & Hairwax Bundling ;31/10/2022 09:29;morning;weekday
93;Hairwax Black Jack;31/10/2022 09:29;morning;weekday
94;Pomade Oil Based Fine Shinee;31/10/2022 09:39;morning;weekday
94;Pomade Oil Based Fine Shinee;31/10/2022 09:39;morning;weekday
95;Shampoo & Face Cleanser & Body Cleanser;31/10/2022 09:43;morning;weekday
95;Ocean Dust & Clayton;31/10/2022 09:43;morning;weekday
95;Pomade Water Based Dashing Slick;31/10/2022 09:43;morning;weekday
96;Ocean Dust & Clayton;31/10/2022 09:46;morning;weekday
96;Ocean Dust & Clayton;31/10/2022 09:46;morning;weekday
96;Pomade Oil Based Fine Shinee;31/10/2022 09:46;morning;weekday
96;Pomade Oil Based Bold ;31/10/2022 09:46;morning;weekday
97;Pomade Oil Based Fine Shinee;31/10/2022 09:51;morning;weekday
97;Ocean Dust & Clayton;31/10/2022 09:51;morning;weekday
97;Pomade Oil Based Bold ;31/10/2022 09:51;morning;weekday
98;Pomade Water Based Dashing Slick;31/10/2022 09:52;morning;weekday
99;Ocean Dust & Clayton;31/10/2022 09:56;morning;weekday
99;Ocean Dust & Clayton;31/10/2022 09:56;morning;weekday
99;Pomade Oil Based Fine Shinee;31/10/2022 09:56;morning;weekday
99;Hair Clay & Hairwax Bundling ;31/10/2022 09:56;morning;weekday
100;Hair Clay & Hairwax Bundling ;31/10/2022 09:58;morning;weekday
101;Pomade Oil Based Fine Shinee;31/10/2022 10:04;morning;weekday
101;Ocean Dust & Clayton;31/10/2022 10:04;morning;weekday
102;Pomade Water Based Dashing Slick;31/10/2022 10:04;morning;weekday
103;Hair Clay & Hairwax Bundling ;31/10/2022 10:07;morning;weekday
104;Pomade Oil Based Fine Shinee;31/10/2022 10:12;morning;weekday
104;Pomade Oil Based Fine Shinee;31/10/2022 10:12;morning;weekday
104;Ocean Dust & Pomade Dapper Stater;31/10/2022 10:12;morning;weekday
104;Ocean Dust & Hair ClayTote Bag;31/10/2022 10:12;morning;weekday
104;Pomade Oil Based Fine Shinee;31/10/2022 10:12;morning;weekday
105;Pomade Oil Based Fine Shinee;31/10/2022 10:21;morning;weekday
105;Shampoo & Face Cleanser & Body Cleanser;31/10/2022 10:21;morning;weekday
105;Pomade Water Based Dashing Slick;31/10/2022 10:21;morning;weekday
106;Pomade Oil Based Fine Shinee;31/10/2022 10:24;morning;weekday
106;Pomade Oil Based Fine Shinee;31/10/2022 10:24;morning;weekday
106;Ocean Dust & Clayton;31/10/2022 10:24;morning;weekday
106;Ocean Dust & Clayton;31/10/2022 10:24;morning;weekday
107;Pomade Oil Based Fine Shinee;31/10/2022 10:27;morning;weekday
107;Shampoo & Face Cleanser & Body Cleanser;31/10/2022 10:27;morning;weekday
108;Pomade Water Based Dashing Slick;31/10/2022 10:31;morning;weekday
108;Ocean Dust & Hair ClayTote Bag;31/10/2022 10:31;morning;weekday
109;Hair Clay & Hairwax Bundling ;31/10/2022 10:35;morning;weekday
109;Ocean Dust & Hair ClayTote Bag;31/10/2022 10:35;morning;weekday
109;Ocean Dust & Clayton;31/10/2022 10:35;morning;weekday
110;Ocean Dust & Clayton;31/10/2022 10:36;morning;weekday
111;Pomade Oil Based Fine Shinee;31/10/2022 10:38;morning;weekday
112;Pomade Oil Based Fine Shinee;31/10/2022 10:59;morning;weekday
113;Pomade Oil Based Fine Shinee;31/10/2022 11:02;morning;weekday
113;Pomade Water Based Dashing Slick;31/10/2022 11:02;morning;weekday
114;Pomade Water Based Dashing Slick;31/10/2022 11:05;morning;weekday
115;Hair Clay & Hairwax Bundling ;31/10/2022 11:08;morning;weekday
116;Pomade Oil Based Fine Shinee;31/10/2022 11:11;morning;weekday
117;Ocean Dust & Hair Clay;31/10/2022 11:13;morning;weekday
117;Pomade Water Based Dashing Slick;31/10/2022 11:13;morning;weekday
117;Pomade Oil Based Fine Shinee;31/10/2022 11:13;morning;weekday
117;My-5 Fruit Shoot;31/10/2022 11:13;morning;weekday
118;Ocean Dust & Hair Clay;31/10/2022 11:18;morning;weekday
118;Ocean Dust & Hair Clay;31/10/2022 11:18;morning;weekday
118;Shampoo & Face Cleanser & Body Cleanser;31/10/2022 11:18;morning;weekday
118;Ocean Dust & Clayton;31/10/2022 11:18;morning;weekday
119;Pomade Oil Based Fine Shinee;31/10/2022 11:25;morning;weekday
119;Pomade Oil Based Fine Shinee;31/10/2022 11:25;morning;weekday
119;Ocean Dust & Hair ClayTote Bag;31/10/2022 11:25;morning;weekday
120;Pomade Water Based Dashing Slick;31/10/2022 11:29;morning;weekday
121;Pomade Oil Based Fine Shinee;31/10/2022 11:30;morning;weekday
121;Hair Clay & Hairwax Bundling ;31/10/2022 11:30;morning;weekday
122;Ocean Dust & Hair Clay;31/10/2022 11:37;morning;weekday
123;Ocean Dust & Dapper Statter;31/10/2022 11:42;morning;weekday
123;Pomade Oil Based Fine Shinee;31/10/2022 11:42;morning;weekday
123;Pomade Oil Based Fine Shinee;31/10/2022 11:42;morning;weekday
123;Pomade Oil Based Bold ;31/10/2022 11:42;morning;weekday
124;Pomade Oil Based Fine Shinee;31/10/2022 11:43;morning;weekday
124;Deep Face Cleanser Facial Wash;31/10/2022 11:43;morning;weekday
125;Shampoo & Face Cleanser & Body Cleanser;31/10/2022 11:47;morning;weekday
126;Pomade Oil Based Fine Shinee;31/10/2022 11:52;morning;weekday
126;Ocean Dust & Dapper Statter;31/10/2022 11:52;morning;weekday
127;Pomade Water Based Dashing Slick;31/10/2022 11:53;morning;weekday
128;Refresh Wipes;31/10/2022 11:55;morning;weekday
128;Pomade Oil Based Fine Shinee;31/10/2022 11:55;morning;weekday
128;Shampoo & Face Cleanser & Body Cleanser;31/10/2022 11:55;morning;weekday
129;Pomade Oil Based Fine Shinee;31/10/2022 11:59;morning;weekday
129;Pomade Oil Based Fine Shinee;31/10/2022 11:59;morning;weekday
129;Pomade Water Based Dashing Slick;31/10/2022 11:59;morning;weekday
130;Pomade Oil Based Fine Shinee;31/10/2022 12:03;afternoon;weekday
130;Pomade Oil Based Fine Shinee;31/10/2022 12:03;afternoon;weekday
130;Ocean Dust & Hair ClayTote Bag;31/10/2022 12:03;afternoon;weekday
131;Hair Clay & Hairwax Bundling ;31/10/2022 12:08;afternoon;weekday
131;Pomade Oil Based Fine Shinee;31/10/2022 12:08;afternoon;weekday
132;Shampoo & Face Cleanser & Body Cleanser;31/10/2022 12:14;afternoon;weekday
132;Pomade Oil Based Bold ;31/10/2022 12:14;afternoon;weekday
132;Hair Styling &  Volumizing Powder Ocean Dust;31/10/2022 12:14;afternoon;weekday
132;Ocean Dust & Hair Clay;31/10/2022 12:14;afternoon;weekday
133;Pomade Oil Based Premium Medium;31/10/2022 12:16;afternoon;weekday
133;Deep Face Cleanser Facial Wash;31/10/2022 12:16;afternoon;weekday
134;Pomade Oil Based Premium Medium;31/10/2022 12:19;afternoon;weekday
134;Shampoo & Face Cleanser & Body Cleanser;31/10/2022 12:19;afternoon;weekday
134;Pomade Water Based Dashing Slick;31/10/2022 12:19;afternoon;weekday
135;Hair Clay & Hairwax Bundling ;31/10/2022 12:20;afternoon;weekday
136;Shampoo & Face Cleanser & Body Cleanser;31/10/2022 12:27;afternoon;weekday
136;Deep Face Cleanser Facial Wash;31/10/2022 12:27;afternoon;weekday
137;Pomade Water Based Dashing Slick;31/10/2022 12:37;afternoon;weekday
138;Deep Face Cleanser Facial Wash;31/10/2022 12:43;afternoon;weekday
138;Pomade Oil Based Premium Medium;31/10/2022 12:43;afternoon;weekday
138;Pomade Oil Based Fine Shinee;31/10/2022 12:43;afternoon;weekday
139;Hair Clay & Hairwax Bundling ;31/10/2022 12:50;afternoon;weekday
139;Ocean Dust & Hair ClayTote Bag;31/10/2022 12:50;afternoon;weekday
139;Pomade Oil Based Premium Medium;31/10/2022 12:50;afternoon;weekday
140;Pomade Oil Based Fine Shinee;31/10/2022 12:53;afternoon;weekday
140;Pomade Oil Based Fine Shinee;31/10/2022 12:53;afternoon;weekday
140;Ocean Dust & Hair Clay;31/10/2022 12:53;afternoon;weekday
141;Hair Clay & Hairwax Bundling ;31/10/2022 12:54;afternoon;weekday
142;Shampoo & Face Cleanser & Body Cleanser;31/10/2022 12:56;afternoon;weekday
142;Ocean Dust & Hair ClayTote Bag;31/10/2022 12:56;afternoon;weekday
143;Shampoo & Face Cleanser & Body Cleanser;31/10/2022 12:59;afternoon;weekday
144;Deep Face Cleanser Facial Wash;31/10/2022 13:02;afternoon;weekday
144;Pomade Oil Based Premium Medium;31/10/2022 13:02;afternoon;weekday
145;Pomade Oil Based Fine Shinee;31/10/2022 13:05;afternoon;weekday
145;Shampoo & Face Cleanser & Body Cleanser;31/10/2022 13:05;afternoon;weekday
145;Oil Based Pomade Choco Loco;31/10/2022 13:05;afternoon;weekday
146;Hair Powder Ocean Dust Team NXL;31/10/2022 13:08;afternoon;weekday
147;Refresh Wipes;31/10/2022 13:09;afternoon;weekday
147;Pomade Oil Based Fine Shinee;31/10/2022 13:09;afternoon;weekday
148;Pomade Oil Based Premium Medium;31/10/2022 13:21;afternoon;weekday
148;Pomade Oil Based Fine Shinee;31/10/2022 13:21;afternoon;weekday
148;Pomade Oil Based Fine Shinee;31/10/2022 13:21;afternoon;weekday
149;Pomade Oil Based Fine Shinee;31/10/2022 13:26;afternoon;weekday
150;Hair Clay & Hairwax Bundling ;31/10/2022 13:31;afternoon;weekday
151;Hairwax Black Jack;31/10/2022 13:50;afternoon;weekday
151;Deep Face Cleanser Facial Wash;31/10/2022 13:50;afternoon;weekday
152;Ocean Dust & Hair ClayTote Bag;31/10/2022 13:51;afternoon;weekday
153;Shampoo & Face Cleanser & Body Cleanser;31/10/2022 13:55;afternoon;weekday
153;Pomade Oil Based Fine Shinee;31/10/2022 13:55;afternoon;weekday
153;Ocean Dust & Hair Clay;31/10/2022 13:55;afternoon;weekday
153;Ocean Dust & Hair ClayTote Bag;31/10/2022 13:55;afternoon;weekday
154;Pomade Oil Based Premium Medium;31/10/2022 14:00;afternoon;weekday
154;Pomade Oil Based Premium Medium;31/10/2022 14:00;afternoon;weekday
154;Pomade Oil Based Fine Shinee;31/10/2022 14:00;afternoon;weekday
154;Hairwax Black Jack;31/10/2022 14:00;afternoon;weekday
155;Shampoo & Face Cleanser & Body Cleanser;31/10/2022 14:01;afternoon;weekday
155;Ocean Dust & Hair ClayTote Bag;31/10/2022 14:01;afternoon;weekday
155;Hair Powder Ocean Dust Team NXL;31/10/2022 14:01;afternoon;weekday
156;Pomade Oil Based Fine Shinee;31/10/2022 14:04;afternoon;weekday
156;Ocean Dust & Hair ClayTote Bag;31/10/2022 14:04;afternoon;weekday
157;Pomade Oil Based Fine Shinee;31/10/2022 14:05;afternoon;weekday
157;Hair Clay & Hairwax Bundling ;31/10/2022 14:05;afternoon;weekday
158;Pomade Oil Based Fine Shinee;31/10/2022 14:20;afternoon;weekday
158;Ocean Dust & Hair ClayTote Bag;31/10/2022 14:20;afternoon;weekday
159;Hair Clay & Hairwax Bundling ;31/10/2022 14:22;afternoon;weekday
159;Dandruff Buster Shampoo ;31/10/2022 14:22;afternoon;weekday
159;Ocean Dust & Hair Clay;31/10/2022 14:22;afternoon;weekday
160;Pomade Water Based Dashing Slick;31/10/2022 14:35;afternoon;weekday
160;Ocean Dust & Hair ClayTote Bag;31/10/2022 14:35;afternoon;weekday
161;Shampoo & Face Cleanser & Body Cleanser;31/10/2022 14:42;afternoon;weekday
162;Ocean Dust & Hair ClayTote Bag;31/10/2022 14:44;afternoon;weekday
163;Pomade Oil Based Fine Shinee;31/10/2022 14:47;afternoon;weekday
163;Pomade Oil Based Bold ;31/10/2022 14:47;afternoon;weekday
164;Pomade Oil Based Fine Shinee;31/10/2022 14:47;afternoon;weekday
164;Ocean Dust & Hair ClayTote Bag;31/10/2022 14:47;afternoon;weekday
165;Shampoo & Face Cleanser & Body Cleanser;31/10/2022 14:48;afternoon;weekday
166;Pomade Oil Based Fine Shinee;31/10/2022 14:49;afternoon;weekday
166;Ocean Dust & Hair ClayTote Bag;31/10/2022 14:49;afternoon;weekday
167;Hair Powder Ocean Dust Team NXL;31/10/2022 14:50;afternoon;weekday
167;Pomade Oil Based Premium Medium;31/10/2022 14:50;afternoon;weekday
167;Hair Clay & Hairwax Bundling ;31/10/2022 14:50;afternoon;weekday
167;Pomade Water Based Dashing Slick;31/10/2022 14:50;afternoon;weekday
168;Shampoo & Face Cleanser & Body Cleanser;31/10/2022 14:56;afternoon;weekday
168;Pomade Oil Based Fine Shinee;31/10/2022 14:56;afternoon;weekday
169;Pomade Water Based Dashing Slick;31/10/2022 15:05;afternoon;weekday
170;Pomade Oil Based Fine Shinee;31/10/2022 15:16;afternoon;weekday
